Name,Rating,Reviews,Type,Employe,Sector,Old
NTT Global Networks,4.1,250,Banking,1 Lakh+ Employees,Public,30 years old
Syncfusion,3.6,249,IT Services & Consulting,1 Lakh+ Employees,Public,43 years old
CareEdge Ratings,2.8,249,IT Services & Consulting,1 Lakh+ Employees,Public,33 years old
Conviction HR,4.5,249,IT Services & Consulting,1 Lakh+ Employees,Public,38 years old
SKH Y-TEC,4.1,249,IT Services & Consulting,1 Lakh+ Employees,Public,27 years old
Tessolve Semiconductor,3.6,249,Banking,50k-1 Lakh Employees,Public,31 years old
Vara United,3.9,248,BPO,50k-1 Lakh Employees,Forbes Global 2000,46 years old
Pfizer Products India,4.3,247,BPO,50k-1 Lakh Employees,Public,41 years old
Shree Baidyanath Ayurved Bhawan,3.5,246,Telecom,50k-1 Lakh Employees,Public,17 years old
Aeries Technology,3.5,250,Internet,1 Lakh+ Employees,Public,30 years old
Busibud,4.0,250,IT Services & Consulting,1 Lakh+ Employees,Public,113 years old
Sureti Insurance Marketing,4.1,250,Retail,1 Lakh+ Employees,NaN,NaN
Automatic Infotech,4.4,249,NBFC,1 Lakh+ Employees,NaN,NaN
Bluestone.com,3.7,249,Engineering & Construction,10k-50k Employees,Public,86 years old
Berkadia,4.0,249,IT Services & Consulting,1 Lakh+ Employees,Public,56 years old
Eastman Auto and Power Limited,4.0,248,IT Services & Consulting,1 Lakh+ Employees,Public,35 years old
Maharashtra Hybrid Seed Company,4.1,248,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30 years old
Council of Scientific and Industrial Research,4.5,248,IT Services & Consulting,1 Lakh+ Employees,Public,79 years old
ProConnect Integrated Logistics,3.8,248,IT Services & Consulting,1 Lakh+ Employees,Public,57 years old
Alkyl Amines,4.3,248,Banking,1 Lakh+ Employees,Public,30 years old
Ruby Hall Clinic,4.0,248,Banking,1 Lakh+ Employees,Public,30 years old
Nava Limited,3.9,248,IT Services & Consulting,1 Lakh+ Employees,Public,43 years old
Amartex Industries,4.2,248,IT Services & Consulting,1 Lakh+ Employees,Public,33 years old
Confidence Petroleum India,3.5,247,IT Services & Consulting,1 Lakh+ Employees,Public,38 years old
Copeland,4.1,247,IT Services & Consulting,1 Lakh+ Employees,Public,27 years old
Muthoot Pappachan Group,4.0,247,Banking,50k-1 Lakh Employees,Public,31 years old
Rimjhim Ispat,3.8,246,BPO,50k-1 Lakh Employees,Forbes Global 2000,46 years old
GTL,4.3,246,BPO,50k-1 Lakh Employees,Public,41 years old
